Time,x,y,z,w
23.7,0.004816572199414106,0.012159939338930165,0.25993920924061853,0.9655364022173806
23.701,0.004822463887336469,0.012158746174034219,0.25996635896170744,0.9655290782476328
23.702,0.004828080416678061,0.012157895865070767,0.25999326753168034,0.9655218154168368
23.703,0.004833401248495265,0.012157472671171735,0.2600199590175531,0.9655146063126808
23.704,0.004838409187144862,0.012157556269035709,0.2600464599387801,0.9655074429000595
23.705,0.004843090678139173,0.01215822071600436,0.26007280381950304,0.965500315305576
23.706,0.004847443931472419,0.012159548294385899,0.2600990176133826,0.9654932152579638
23.707,0.004851462738621237,0.012161598440748251,0.2601251331908229,0.9654861334659959
23.708,0.004855144889064692,0.012164422415504457,0.2601511835071503,0.9654790604229759
23.709,0.004858492205497306,0.012168062598781091,0.2601772022090284,0.9654719865209782
23.71,0.004861510524829658,0.012172551889226479,0.260203223227735,0.9654649021677685
23.711,0.004864209624805566,0.012177913214875349,0.26022928036401105,0.965457797905059
23.712,0.00486660309688482,0.012184159164090855,0.260255406869549,0.9654506645266382
23.713,0.004868708166875405,0.012191291743327564,0.26028163503048085,0.96544349319485
23.714,0.004870545465637665,0.012199302267003496,0.26030799575845454,0.9654362755538461
23.715,0.004872138752900868,0.012208171383303658,0.26033451818328524,0.9654290038411553
23.716,0.004873559749195109,0.012217842081762317,0.26036122876510975,0.9654216712432752
23.717,0.0048748357795067145,0.012228275270324628,0.2603881519894738,0.9654142714728962
23.718,0.004875996265040728,0.012239422084033065,0.26041530952989556,0.9654067991110903
23.719,0.004877072309506773,0.012251224453675243,0.260442719961581,0.9653992496807149
23.72,0.0048780962646616695,0.012263615799371424,0.26047039851474585,0.9653916197077369
23.721,0.004879101281533149,0.012276521841086166,0.26049835687156525,0.9653839067694183
23.722,0.004880120853932697,0.012289861516137935,0.2605266030100913,0.9653761095285026
23.723,0.004881188360921226,0.012303547991991232,0.26055514109771216,0.965368227752781
23.724,0.0048823366148243175,0.01231748976099333,0.26058397143589357,0.9653602623196509
23.725,0.004883597286307462,0.012331591856020603,0.2606130798832328,0.9653522180601325
23.726,0.004885037391532216,0.0123457132796383,0.26064246624669996,0.965344096455838
23.727,0.004886684024167089,0.012359757303891689,0.26067211947552993,0.9653359015631667
23.728,0.004888562149664667,0.0123736273694327,0.26070202495471984,0.9653276384162736
23.729,0.00489069427268556,0.012387228348164348,0.26073216470074995,0.9653193129601431
23.73,0.004893100141409231,0.012400467787141635,0.26076251760085445,0.9653109319717302
23.731,0.004895796492069405,0.012413257116465237,0.2607930596919665,0.965302502970427
23.732,0.004898796836388843,0.012425512804540729,0.2608237644749231,0.9652940341192573
23.733,0.004902111293918999,0.012437157444993215,0.26085460325908877,0.965285534118322
23.734,0.004905746470624362,0.012448120760704399,0.2608855455322332,0.9652770120920947
23.735,0.004909705203409692,0.012458340583438499,0.26091654531176045,0.9652684812668955
23.736,0.0049139694544998,0.012467762110665193,0.26094757999539425,0.9652599485665505
23.737000000000002,0.004918535707752064,0.012476341641247713,0.2609786160717023,0.9652514236503573
23.738,0.004923396903135582,0.012484045522780837,0.261009619829247,0.9652429161236624
23.739,0.004928542544128712,0.012490850577000109,0.26104055777015794,0.9652344354193434
23.74,0.004933958846701667,0.012496744390321472,0.26107139701704457,0.9652259906826539
23.741,0.004939628927445739,0.012501725467353536,0.2611021057085388,0.9652175906607616
23.742,0.004945533028042988,0.012505803247082614,0.26113265337908403,0.9652092435982019
23.743,0.0049516487729475075,0.01250899798320453,0.2611630113189408,0.9652009571393453
23.744,0.0049579514568718905,0.012511340491737978,0.26119315291075007,0.9651927382388414
23.745,0.004964414267890525,0.012512871806620997,0.2612230469470244,0.9651845949733349
23.746,0.0049709646099255975,0.012513684219283453,0.2612526776976754,0.9651765308035113
23.747,0.004977574294559019,0.012513835874861039,0.261282026575527,0.9651685501788924
23.748,0.00498421410851219,0.012513393282521091,0.261311078127354,0.9651606565987848
23.749,0.004990854195684866,0.01251243049892557,0.26133982021127206,0.9651528525727658
23.75,0.004997464444893578,0.012511028224974543,0.26136824413673715,0.9651451395923595
23.751,0.005004014878931377,0.012509272826499862,0.26139634476599727,0.965137518114087
23.752,0.005010476040560041,0.012507255290126532,0.2614241205761335,0.9651299875539824
23.753,0.005016819371061335,0.012505070125974868,0.261451573681116,0.9651225462935836
23.754,0.005023017577021106,0.012502814229234094,0.26147870981358373,0.9651151916973404
23.755,0.005029045010805758,0.012500585700991957,0.26150554055991937,0.9651079195198202
23.756,0.005034857824982446,0.012498521966392334,0.26153207715068577,0.9651007251974199
23.757,0.005040435130729228,0.012496718569920235,0.26155833563526937,0.9650936032833214
23.758,0.005045758557551066,0.012495268786034196,0.2615843352106828,0.9650865474924666
23.759,0.005050812502967848,0.012494262462695718,0.26161009800827156,0.9650795507722023
23.76,0.005055584346972511,0.012493784899489649,0.26163564884481993,0.9650726053822822
23.761,0.005060064628266583,0.012493915773056733,0.2616610149400992,0.9650657029835487
23.762,0.0050642471796732555,0.012494728122363078,0.26168622560333527,0.9650588347345108
23.763,0.005068129220579322,0.012496287406024651,0.2617113118915255,0.9650519913949125
23.764,0.005071711404763298,0.012498650643471549,0.2617363062430016,0.9650451634352606
23.765,0.005074997892173457,0.012501865622987059,0.2617612474550054,0.965038339695962
23.766,0.005078025545455754,0.012505964186647392,0.2617861653635744,0.9650315114754324
23.767,0.0050808041089460835,0.012510973950608429,0.2618110940384014,0.9650246691141264
23.768,0.005083346497119141,0.01251691176804374,0.26183606730839915,0.965017803133524
23.769,0.005085668617331758,0.012523783441587416,0.26186111834070386,0.9650109043551678
23.77,0.005087789151804518,0.01253158357097926,0.26188627922397695,0.9650039640172322
23.771,0.00508972930168254,0.01254029554006625,0.2619115805617909,0.9649969738869797
23.772,0.005091512496658034,0.012549891645576695,0.26193705108192594,0.9649899263674648
23.773,0.005093164074227985,0.012560333368211066,0.2619627172673214,0.9649828145968786
23.774,0.00509471093319135,0.012571571784629023,0.2619886030142225,0.9649756325389917
23.775,0.0050961811246656935,0.01258354813398004,0.2620147261133356,0.964968375934703
23.776,0.005097650441301144,0.012596149906457072,0.2620411061704774,0.9649610404801144
23.777,0.005099146399280623,0.012609302414173759,0.262067757627077,0.9649536230363314
23.778,0.0051006965866458856,0.012622923488893921,0.26209469134701274,0.9649461215345854
23.779,0.005102328274197397,0.01263692450582213,0.2621219144783571,0.9649385350038714
23.78,0.0051040680339976855,0.012651211496955944,0.26214943036467675,0.9649308635838316
23.781,0.00510594137094603,0.012665686339392319,0.2621772385070561,0.9649231085226857
23.782,0.005107972372613052,0.012680248002688028,0.2622053345771638,0.96491527216026
23.783,0.0051101833821564115,0.012694793838338518,0.2622337104808364,0.9649073578964231
23.784,0.005112594698691948,0.012709220893689454,0.2622623544708401,0.9648993701454748
23.785,0.00511522415414137,0.012723427294732794,0.26229123954836064,0.9648913174735863
23.786,0.005118102094579081,0.01273728124936753,0.26232035545657656,0.9648832042327503
23.787,0.00512124062728526,0.012750688042679665,0.2623496806872129,0.9648750374489917
23.788,0.005124649004692669,0.012763557747064228,0.2623791909738087,0.9648668248572678
23.789,0.005128333508861247,0.012775806386230009,0.2624088596049516,0.9648585748012154
23.79,0.005132297376927351,0.012787357019309355,0.26243865776532993,0.9648502961259987
23.791,0.005136540767750607,0.012798140730838946,0.2624685548997129,0.9648419980658136
23.792,0.005141060769407045,0.012808097513923223,0.2624985190948331,0.9648336901276088
23.793,0.005145851446643547,0.012817177035617173,0.26252851747410444,0.964825381972601
23.794,0.005150903926911402,0.01282533927542575,0.26255851660013163,0.964817083297111
23.795,0.005156206339410126,0.012832555103815391,0.2625884690522227,0.96480880747768
23.796,0.005161715528744993,0.01283882096505913,0.26261835195773725,0.9648005610404825
23.797,0.005167415781544624,0.012844129797931909,0.2626481326843915,0.9647923530694451
23.798000000000002,0.0051732890949077815,0.012848486005971606,0.2626777796249862,0.9647841922308752
23.799,0.005179315420478715,0.012851905394788737,0.26270726256761573,0.9647760866717876
23.8,0.00518547293114751,0.012854414969744021,0.26273655304738436,0.9647680439250903
23.801,0.005191738306884989,0.012856052598156168,0.26276562467618,0.9647600708225249
23.802,0.005198087036103764,0.01285686654172275,0.26279445344736324,0.9647521734161553
23.803,0.005204493728860232,0.012856914866206095,0.2628230180125289,0.9647443569090909
23.804,0.005210932438168309,0.012856264736641972,0.2628512999277955,0.9647366255960298
23.805,0.00521737691479853,0.012854991636212067,0.26287927853965637,0.9647289842658567
23.806,0.00522375947873025,0.012853230919066837,0.2629069464702028,0.9647214335182793
23.807,0.005230055844062568,0.012851069745027071,0.26293429510992916,0.9647139746978486
23.808,0.005236242398726087,0.012848600661375723,0.2629613193815036,0.9647066081123967
23.809,0.005242296515640338,0.012845920485761083,0.26298801780576814,0.9646993330280211
23.81,0.005248196850235477,0.012843129141017625,0.2630143925280956,0.9646921476754982
23.811,0.0052539236210008685,0.012840328454556706,0.2630404493045154,0.9646850492681237
23.812,0.0052594588698732896,0.012837620935207059,0.2630661974473251,0.9646780340309015
23.813,0.005264786699452063,0.012835108540547258,0.26309164973022586,0.9646710972409145
23.814,0.005269893484225914,0.012832891447868219,0.2631168222533714,0.9646642332786263
23.815,0.005274768123948417,0.012831066812898185,0.26314173957818227,0.9646574342415289
23.816,0.0052793973119615615,0.012829760905886776,0.2631664202652741,0.9646506934864462
23.817,0.005283775325467354,0.012829060016440104,0.2631908891094984,0.9646440031572044
23.818,0.005287899246301218,0.012829044114064212,0.26321517330999816,0.9646373548064933
23.819,0.005291769009841836,0.012829785835275444,0.26323930215667246,0.9646307394937379
