Time,phi,theta,psi
35.373,-0.007545479176616181,0.024370244233898886,0.18983043501107918
35.374,-0.007526223704401117,0.024355720638028266,0.18971991401628144
35.375,-0.0075061019968554275,0.02434240908257901,0.18960854537793329
35.376,-0.007485269627281695,0.024330332874586746,0.1894963765136714
35.377,-0.0074637958047893225,0.024319556593705327,0.18938352105062628
35.378,-0.00744175495620125,0.024310133804651857,0.18927009840859968
35.379,-0.007419225973013923,0.024302106503151677,0.18915623292602393
35.38,-0.007396291443773747,0.024295504677545265,0.18904205294062182
35.381,-0.007373036880305408,0.024290345991934803,0.18892768983046035
35.382,-0.007349549945581291,0.024286635595144324,0.18881327702163303
35.383,-0.007325919690274547,0.02428436605806361,0.18869894896933784
35.384,-0.0073022358042026305,0.024283517440209623,0.18858484011962143
35.385,-0.007278587134658979,0.02428405771070241,0.18847111488444754
35.386,-0.007255099970544058,0.02428583527850714,0.1883578807430141
35.387,-0.007231860316351368,0.02428879797415795,0.18824526571333208
35.388,-0.0072089521239412785,0.024292882519640235,0.18813339360552403
35.389,-0.007186456680666879,0.024298015195779232,0.1880223830117469
35.39,-0.007164452031250081,0.024304112607812955,0.18791234632822226
35.391,-0.0071430124340797355,0.024311082539026918,0.18780338881841446
35.392,-0.007122207852183215,0.024318824881339962,0.18769560772626265
35.393,-0.00710210347884082,0.024327232630954265,0.18758909144812197
35.394,-0.0070827592976658695,0.024336192936635914,0.18748391877169857
35.395,-0.00706423049581411,0.024345587949918368,0.1873801245446939
35.396,-0.007046530218829473,0.024355184359897475,0.18727779343185738
35.397,-0.007029701730652872,0.024364861981132746,0.18717697155731625
35.398,-0.007013781625908591,0.02437449911029166,0.18707769321642986
35.399,-0.0069987995613645495,0.02438397365508682,0.18697998055441187
35.4,-0.006984778024901179,0.02439316424247484,0.1868838433475194
35.401,-0.006971732143790212,0.024401951295967672,0.18678927888956648
35.402,-0.006959669534517983,0.024410218072901113,0.18669627198543512
35.403,-0.006948590196771918,0.024417851653584233,0.18660479505212965
35.404,-0.0069384864545243945,0.024424743875369748,0.18651480832679532
