Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
140.826,7424,140,825000000,IMU,-5.76266883056299e-09,-1.2009650148783639e-08,1.6251399694961002e-06,0.9999999999986794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01755005788057893,0.015218206629506102,-0.02287827792061286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020443875641980167,0.0014397600497783338,9.877219202631313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.836,7425,140,835000000,IMU,-5.777238526236002e-09,-1.198968763300691e-08,1.625092750517686e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022441345702057452,-0.004516383335267499,0.015989633983303404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03141235485550849,0.03392100982338358,9.778761519135887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.846,7426,140,845000000,IMU,-5.8040323802713195e-09,-1.1965111282230138e-08,1.6250190541247559e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031894310929508396,-0.05512835944071924,0.09134940429367913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022290936509845486,-0.0004463439831139395,9.726031324064497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.856,7427,140,855000000,IMU,-5.8649878608080835e-09,-1.186743453034471e-08,1.6249740387880828e-06,0.9999999999986798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026220440436838095,0.008905050636049685,-0.03221740502485944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0238694086390121,0.051029058405853076,9.894835192787486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.866,7428,140,865000000,IMU,-5.946421255263556e-09,-1.1713228137615736e-08,1.6249873706512752e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08529156054510827,0.007410036581996673,-0.01568639140517124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01731270024933118,-0.04724061636599291,9.827448970528296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.876,7429,140,875000000,IMU,-5.9603345264296605e-09,-1.1574644042573975e-08,1.6250482425195814e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018086143057161976,-0.005708069905789515,0.04706392397195111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1001629265937711,0.05185690764810614,9.755528927812728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.886,7430,140,885000000,IMU,-5.942829124939568e-09,-1.1441659411161765e-08,1.625113296328124e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015394733197665789,-0.01248388349245705,-0.08828017599958436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032777217065942124,-0.05676644428829788,9.807671778350205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.896,7431,140,895000000,IMU,-5.939944423151389e-09,-1.1351151374017136e-08,1.6251315329823614e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04136009884615829,0.027742072246075476,0.02924616072806477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06236440876788879,-0.020253111039671708,9.830583032565235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.906,7432,140,905000000,IMU,-5.964373604449686e-09,-1.1347964643925612e-08,1.625087101445651e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043132641184122404,-0.05545930485805736,-0.04065699956441627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0648360579214007,0.02508626595364112,9.823185088988522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.916,7433,140,915000000,IMU,-6.0276971869917715e-09,-1.129551993617989e-08,1.625012324293101e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01598573945189407,0.04158107841721311,-0.026195967668628733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009621186835785014,-0.03750790711527708,9.773502242093707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
